MSN,YYYYMM,Value,Description
CLEIEUS,199002,116.26,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199003,121.806,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199004,115.909,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199005,118.556,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199006,130.719,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199007,143.146,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199008,146.257,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199009,134.042,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199010,128.8,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199011,122.119,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199012,137.027,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199013,1547.564,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199101,143.148,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199102,117.505,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199103,118.823,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199104,111.147,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199105,122.745,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199106,131.945,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199107,144.042,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199108,144.107,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199109,129.099,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199110,124.058,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199111,127.928,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199112,133.633,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199113,1548.18,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199201,137.39,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199202,121.125,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199203,126.201,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199204,118.33,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199205,121.946,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199206,129.054,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199207,148.563,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199208,142.166,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199209,132.766,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199210,126.405,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199211,126.014,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199212,139.605,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199213,1569.566,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199301,139.269,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199302,128.056,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199303,134.599,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199304,119.596,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199305,120.469,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199306,136.697,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199307,157.967,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199308,156.392,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199309,133.435,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199310,130.321,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199311,131.799,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199312,143.919,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199313,1632.52,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199401,153.119,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199402,131.25,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199403,132.54,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199404,120.392,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199405,126.496,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199406,146.639,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199407,153.375,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199408,151.757,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199409,133.235,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199410,129.229,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199411,124.074,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199412,136.675,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199413,1638.781,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199501,143.097,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199502,127.774,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199503,127.348,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199504,118.414,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199505,125.516,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199506,138.913,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199507,159.638,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199508,167.717,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199509,137.474,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199510,132.871,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199511,134.591,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199512,147.39,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199513,1660.744,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199601,153.915,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199602,138.446,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199603,138.362,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199604,124.885,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199605,135.014,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199606,147.23,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199607,160.939,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199608,162.998,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199609,144.095,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199610,143.399,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199611,147.318,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199612,155.809,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199613,1752.41,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199701,162.245,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199702,135.873,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199703,138.495,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199704,130.325,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199705,136.525,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199706,147.624,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199707,169.108,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199708,164.925,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199709,152.353,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199710,152.153,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199711,146.425,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199712,160.993,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199713,1797.045,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199801,159.602,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199802,138.682,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199803,144.143,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199804,133.418,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199805,146.249,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199806,158.591,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199807,174.995,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199808,174.745,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199809,156.709,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199810,147.334,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199811,139.397,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199812,154.318,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199813,1828.184,Coal Electric Power Sector CO2 Emissions
CLEIEUS,199901,161.387,Coal Electric Power Sector CO2 Emissions
